date,model,rank,industry,reason
2026-06-01,Perplexity,1,AI Agents,Agentic AI is the dominant enterprise narrative with Gartner predicting 40% of enterprise apps will embed task-specific AI agents by end-2026 up from less than 5% in 2025 representing an 8x adoption surge [agentmarketcap](https://agentmarketcap.ai/blog/2026/04/06/enterprise-ai-agent-adoption-inflection-2026)
2026-06-01,Perplexity,2,AI Chips,NVIDIA holds 81% market share while AMD's data center revenue hit $5.8B in Q1 2026 up 57% YoY with GPU revenue forecast to grow 114% driven by unprecedented AI processor demand [intellectia](https://intellectia.ai/blog/ai-chip-stocks-investment-2026)
2026-06-03,Perplexity,3,AI Infrastructure,AI-related data center infrastructure requires $5.2 trillion investment by 2030 with global capacity expected to nearly double from 103GW to 200GW as AI workloads could represent 50% of capacity [avidsolutionsinc](https://avidsolutionsinc.com/13-data-center-growth-projections-that-will-shape-2026-2030/)
2026-06-01,Perplexity,4,AI Enterprise Software,Enterprise software is undergoing fundamental restructuring as AI becomes the fundamental infrastructure driving intelligent outcomes with agentic workflows now performing roughly half of human tasks [arielsoftwares](https://www.arielsoftwares.com/ai-trends-enterprise-software-2026/)
2026-06-01,Perplexity,5,AI Healthcare,Global AI healthcare market projected to reach $50-56 billion in 2026 up from $39 billion in 2025 at 38-44% CAGR with 1250+ FDA-cleared AI devices and active deployment in drug discovery [finance.yahoo](https://finance.yahoo.com/news/ai-life-sciences-market-2026-093500956.html)
2026-06-01,Perplexity,6,AI Finance,Financial institutions deploying autonomous AI agents across trading compliance risk management and lending with agentic automation enabling independent decision-making and portfolio optimization [technode](https://technode.global/2026/06/01/ai-agents-in-finance-how-autonomous-ai-is-reshaping-the-financial-industry-in-2026/)
2026-06-01,Perplexity,7,AI Security,nearly 80% of CISOs plan new investments in AI-powered cybersecurity tools in 2026 driven by sophisticated AI-generated attacks and security professional shortage with market growing at 19.5% CAGR [calcalistech](https://www.calcalistech.com/ctechnews/article/te4mdxjye)
2026-06-01,Perplexity,8,AI Cloud Platforms,AWS Azure and Google Cloud are in unprecedented arms race for AI workloads spending hundreds of billions in 2026 with AWS at 31% Azure at 28% and GCP at 12% market share [algeriatech](https://algeriatech.news/ai-cloud-wars-aws-azure-gcp-2026/)
2026-06-01,Perplexity,9,AI Research & Foundation Models,2026 features intense LLM race with GPT-5.2 Claude Opus 4.5 and Gemini 3 Pro leading different benchmarks while models become more specialized modular with million-token contexts routine [epcgroup](https://www.epcgroup.net/blog/generative-ai-frontier-models-gpt-claude-gemini-2026)
2026-06-01,Perplexity,10,Humanoid Robotics,Humanoid robots are finally an industry not demo reel with Figure Tesla 1X Apptronik shipping or about to ship and BMW Mercedes Amazon signing real pilot agreements for industrial deployment [aimagicx](https://www.aimagicx.com/blog/humanoid-robots-workplace-tesla-optimus-atlas-2026)
